"cvd_10y_noHF","Mean","SD","Variable"
0,-0.094,1.05,"nSES"
1,0.048,0.989,"nSES"
0,0.025,1.027,"nFavFood"
1,-0.02,1.003,"nFavFood"
0,0.06,1.067,"nPhysFac"
1,0.018,1.052,"nPhysFac"
0,0.001,1.007,"nRS"
1,0.039,0.977,"nRS"
0,61.009,9.981,"age"
1,66.837,9.385,"age"
0,0.028,1.012,"hdl"
1,-0.261,0.93,"hdl"
0,-0.019,0.983,"totchol"
1,0.048,1.022,"totchol"
0,-0.112,0.945,"sbp"
1,0.362,1.018,"sbp"
