cvd_10y_HF,PhysAct,Count,Percentage
0,0,822,17.796059753193333
0,1,715,15.479541026196147
0,2,2593,56.137692141156094
1,0,109,2.359818142455077
1,1,95,2.0567222342498375
1,2,285,6.170166702749513
