cvd_10y_HF,FamIncome,Count,Percentage
0,1,350,7.577397705130981
0,2,658,14.245507685646244
0,3,1967,42.58497510283611
0,4,1155,25.00541242693224
1,1,52,1.1257848019051742
1,2,113,2.4464169733708596
1,3,233,5.044381900844338
1,4,91,1.9701234033340551
