cvd_10y_HF,site,Count,Percentage
0,3,596,12.903225806451612
0,4,704,15.241394241177744
0,5,661,14.31045680883308
0,6,701,15.176445117990909
0,7,811,17.55791296817493
0,8,657,14.223857977917298
1,3,89,1.9268239878761635
1,4,84,1.8185754492314354
1,5,68,1.472180125568305
1,6,105,2.2732193115392945
1,7,69,1.4938298332972504
1,8,74,1.6020783719419789
