cvd_10y_noHF,FamIncome,Count,Percentage
0,1,435,12.31945624468989
0,2,719,20.362503540073636
0,3,1556,44.06683659020108
0,4,578,16.369300481450015
1,1,41,1.1611441517983574
1,2,72,2.0390824129141887
1,3,104,2.9453412630982725
1,4,26,0.7363353157745681
