cvd_10y_noHF,currentSmoker,Count,Percentage
0,0,1849,40.03030959082052
0,1,1804,39.056072743017964
0,2,560,12.12383632820957
1,0,157,3.399004113444468
1,1,180,3.896947391210219
1,2,69,1.4938298332972504
