cvd_10y_noHF,nutrition,n,Percentage
0,0,2269,69.00851581508516
0,1,974,29.62287104622871
0,2,45,1.3686131386861315
1,0,152,62.55144032921811
1,1,87,35.80246913580247
1,2,4,1.646090534979424
