cvd_10y_noHF,site,Count,Percentage
0,3,618,13.379519376488416
0,4,718,15.544490149382984
0,5,671,14.526953886122538
0,6,718,15.544490149382984
0,7,822,17.796059753193333
0,8,666,14.41870534747781
1,3,67,1.4505304178393592
1,4,70,1.5154795410261963
1,5,58,1.2556830482788484
1,6,88,1.905174280147218
1,7,58,1.2556830482788484
1,8,65,1.4072310023814678
