cvd_10y_noHF,nutrition,Count,Percentage
0,0,2269,64.25941659586519
0,1,974,27.58425375247805
0,2,45,1.274426508071368
1,0,152,4.304729538374398
1,1,87,2.463891248937978
1,2,4,0.11328235627301048
