cvd_10y_noHF,PhysAct,Count,Percentage
0,0,839,18.164104784585408
0,1,735,15.912535180775059
0,2,2639,57.13357869668759
1,0,92,1.9917731110630006
1,1,75,1.6237280796709244
1,2,239,5.174280147218012
