cvd_10y_noHF,FamIncome,n,Percentage
0,1,435,13.229927007299269
0,2,719,21.867396593673966
0,3,1556,47.323600973236005
0,4,578,17.579075425790755
1,1,41,16.872427983539097
1,2,72,29.629629629629626
1,3,104,42.79835390946502
1,4,26,10.699588477366255
