cvd_10y_noHF,PhysAct,n,Percentage
0,0,1490,45.31630170316301
0,1,1126,34.24574209245742
0,2,672,20.437956204379564
1,0,148,60.90534979423868
1,1,60,24.691358024691358
1,2,35,14.40329218106996
