cvd_10y_HF,currentSmoker,Count,Percentage
0,0,1818,39.35916865122321
0,1,1763,38.168434726131196
0,2,549,11.885689543191166
1,0,188,4.070145053041784
1,1,221,4.784585408096991
1,2,80,1.7319766183156529
