cvd_10y_noHF,PhysAct,Count,Percentage
0,0,1490,42.1976777116964
0,1,1126,31.88898329085245
0,2,672,19.031435853865762
1,0,148,4.1914471821013874
1,1,60,1.6992353440951573
1,2,35,0.9912206173888417
