"cvd_10y_HF","Mean","SD","Variable"
0,-0.095,1.052,"nSES"
1,0.034,0.981,"nSES"
0,0.027,1.029,"nFavFood"
1,-0.025,0.988,"nFavFood"
0,0.061,1.068,"nPhysFac"
1,0.015,1.048,"nPhysFac"
0,0.001,1.009,"nRS"
1,0.029,0.967,"nRS"
0,60.87,9.957,"age"
1,67.022,9.269,"age"
0,0.027,1.011,"hdl"
1,-0.206,0.959,"hdl"
0,-0.015,0.985,"totchol"
1,-0.001,1.006,"totchol"
0,-0.124,0.939,"sbp"
1,0.379,1.023,"sbp"
