,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_std,ACME,-0.02874,-0.07213,0.01415
1,mesa_std,ADE,0.09039,-0.04394,0.22557
2,mesa_std,Total Effect,0.10223,-0.02516,0.23621
3,mesa_std,Prop. Mediated,-0.28115,-0.67694,0.21749
