,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,jhs_std,ACME,0.00099,-0.00174,0.00449
1,jhs_std,ADE,0.05355,-0.09206,0.20099
2,jhs_std,Total Effect,0.05353,-0.09309,0.20137
3,jhs_std,Prop. Mediated,0.01843,0.00191,0.03538
