,Data,X,M,other,Effect,Estimate,95_CI_Lower,95_CI_Upper
65,jhs_std,nRS,nutrition,,ADE,0.09692,-0.02775,0.24005
66,jhs_std,nRS,nutrition,,Total Effect,0.09687,-0.02807,0.23987
67,jhs_std,nRS,nutrition,,Prop. Mediated,0.01903,0.00201,0.03544
68,jhs_std,nRS,PhysAct,,ACME,-0.00866,-0.02379,0.00489
69,jhs_std,nRS,PhysAct,,ADE,0.08832,-0.04974,0.24223
70,jhs_std,nRS,PhysAct,,Total Effect,0.0974,-0.04211,0.24795
71,jhs_std,nRS,PhysAct,,Prop. Mediated,-0.08887,-0.17739,0.00179
72,jhs_std,nRS,currentSmoker,,ACME,0.00124,-0.00075,0.00425
73,jhs_std,nRS,currentSmoker,,ADE,0.08698,-0.06087,0.23399
74,jhs_std,nRS,currentSmoker,,Total Effect,0.10152,-0.04799,0.24464
75,jhs_std,nRS,currentSmoker,,Prop. Mediated,0.01219,-0.00162,0.02951
76,jhs_std,nRS,alc,,ACME,-0.00429,-0.01214,0.00227
77,jhs_std,nRS,alc,,ADE,0.09762,-0.04911,0.25638
78,jhs_std,nRS,alc,,Total Effect,0.09762,-0.04914,0.2562
79,jhs_std,nRS,alc,,Prop. Mediated,-0.04393,-0.0641,-0.02693
