"Data","Y","X","moderator","X_coef","X_pvalue","X_ci_lwr","X_ci_upr","moderator_coef","moderator_pvalue","moderator_ci_lwr","moderator_ci_upr","interaction_coef","interaction_pvalue","interaction_ci_lwr","interaction_ci_upr"
"mesa","cvd_10y_HF","nFavFood","currentSmoker",0.0295001861652958,0.875592283076633,-0.34831371602045,0.391747273831395,0.211736581990777,0.0055150314970779,0.0618766883330395,0.361114313975206,-0.174828284041655,0.0315712467068726,-0.3364261846158,-0.0170087438135284
"mesa","cvd_10y_noHF","nPhysFac","alc",0.644303441809253,0.00778093599984306,0.152719013051388,1.11168441075993,-0.0678965545809254,0.577499430638095,-0.305107016235768,0.172990061693199,-0.25392358363572,0.0389189785839252,-0.492805994782287,-0.0064587003720787
"jhs","cvd_10y_HF","nSES","PhysAct",0.345787396271252,0.0258347072388233,0.0432021957515304,0.651825471896987,-0.093004546474366,0.25643171742068,-0.255201867354917,0.0663024231809131,-0.200737998154757,0.00973092704092353,-0.351625203757117,-0.0469216069618345
"jhs","cvd_10y_HF","nPhysFac","PhysAct",-0.238081112954199,0.107813070322686,-0.534995939799791,0.0466845281112212,-0.097363225924907,0.229096898146092,-0.257669214828276,0.0599030514245838,0.172115614205285,0.0278040742012118,0.0153707074122046,0.32326253576129
"jhs","cvd_10y_noHF","nSES","PhysAct",0.640723774390587,0.00131299264374572,0.253232482977748,1.03553021543576,-0.0922859316557976,0.366763038691597,-0.295356604163386,0.10599978403033,-0.257962270509419,0.00929312798070956,-0.449612757299697,-0.0603505657678857
