"Data","Y","X","moderator","interaction_coef","interaction_pvalue","interaction_ci_lwr","interaction_ci_upr"
"mesa","cvd_10y_HF","nFavFood","currentSmoker",-0.174828284041655,0.0315712467068726,-0.3364261846158,-0.0170087438135284
"mesa","cvd_10y_noHF","nPhysFac","alc",-0.25392358363572,0.0389189785839252,-0.492805994782287,-0.0064587003720787
"jhs","cvd_10y_HF","nSES","PhysAct",-0.200737998154757,0.00973092704092353,-0.351625203757117,-0.0469216069618345
"jhs","cvd_10y_HF","nPhysFac","PhysAct",0.172115614205285,0.0278040742012118,0.0153707074122046,0.32326253576129
"jhs","cvd_10y_noHF","nSES","PhysAct",-0.257962270509419,0.00929312798070956,-0.449612757299697,-0.0603505657678857
