"Data","Y","X","mediator","b1","b1_pvalue","b1_ci_lwr","b1_ci_upr","b2","b2_pvalue","b2_ci_lwr","b2_ci_upr","b3","b3_pvalue","b3_ci_lwr","b3_ci_upr","b4","b4_pvalue","b4_ci_lwr","b4_ci_upr","b2_b4","b2_b4_ci_lwr","b2_b4_ci_upr"
"mesa","cvd_10y_HF","nSES","FamIncome",0.19731,0.00869,0.0365880512266044,0.409178753667321,-0.20554,0,-0.253393183946188,-0.165405270689291,0.18533,0.01452,0.0235675512410491,0.409308232742784,-0.0963,0.18485,-0.247477838364111,0.0813859464898526,0.01979,-0.0160806933508065,0.0468702017500159
"mesa","cvd_10y_HF","nSES","nutrition",0.18954,0.01231,0.0330537795528888,0.409419263192337,-0.02984,0.00032,-0.0483717866944541,-0.0103275509951343,0.18533,0.01452,0.023567551241049,0.409308232742783,-0.34489,0.00612,-0.650450347204374,-0.106195859569932,0.01029,0.00239921383076468,0.0224557872116985
"mesa","cvd_10y_HF","nSES","PhysAct",0.19248,0.01093,0.0227011339458365,0.419051902908152,-0.09958,0,-0.138551088606045,-0.070543916817005,0.18533,0.01452,0.0235675512410489,0.409308232742784,-0.15807,0.0233,-0.349385619614474,0.0430876862782303,0.01574,-0.00403208813850678,0.0355691477968997
"mesa","cvd_10y_HF","nSES","currentSmoker",0.18327,0.01555,0.0182125013049596,0.404984920352675,0.01852,0.11338,-0.0156277755649233,0.0496645707515925,0.18533,0.01452,0.0235675512410488,0.409308232742783,0.15426,0.07569,-0.0375345974794226,0.364661718670239,0.00286,-0.00234924375082373,0.00998242810122345
"mesa","cvd_10y_HF","nSES","alc",0.18592,0.01422,0.0236922175095363,0.407790711847948,-0.03813,0,-0.056809206947319,-0.0139107370436688,0.18533,0.01452,0.0235675512410493,0.409308232742783,-0.06648,0.59896,-0.348066482457594,0.202590191563293,0.00253,-0.00911679275616446,0.0131028433371884
"mesa","cvd_10y_HF","nFavFood","FamIncome",0.17695,0.06128,-0.88476622387386,0.73615010163141,-0.02446,0.02246,-0.0759622880778002,0.0173822171289802,0.18129,0.05549,-0.894608071035642,0.735126628602802,0.07166,0.45405,-0.247362784419907,0.392062264699576,-0.00175,-0.0169334766455055,0.00798602955840835
"mesa","cvd_10y_HF","nFavFood","nutrition",0.17012,0.07166,-0.88389156267811,0.732383869180754,0.03207,0,-0.00311802270886043,0.0741870155024747,0.18129,0.05549,-0.894608071035644,0.735126628602806,-0.31257,0.02803,-1.23674441174379,0.203053971877529,-0.01002,-0.0412064213483054,0.00825097454099131
"mesa","cvd_10y_HF","nFavFood","PhysAct",0.17951,0.05541,-0.887917544768671,0.738009722517082,-0.01104,0.28463,-0.11183001367583,0.0575326502770592,0.18129,0.05549,-0.894608071035639,0.735126628602807,-0.48671,0,-0.819200844000728,-0.0489494654438337,0.00537,-0.0237776496870429,0.0815872720638529
"mesa","cvd_10y_HF","nFavFood","currentSmoker",0.17212,0.06653,-0.882330130809202,0.727603538534905,-0.03274,0.00029,-0.0916356882304376,0.0376297640402615,0.18129,0.05549,-0.894608071035643,0.735126628602802,0.35411,0.00062,0.0586530661849838,0.690293219157975,-0.01159,-0.0392387399281188,0.0154615030456216
"mesa","cvd_10y_HF","nFavFood","alc",0.16703,0.07612,-0.909532630886161,0.727178128919626,-0.02221,0.00018,-0.0601889467481712,0.0184590569267197,0.18129,0.05549,-0.894608071035643,0.735126628602806,-0.20459,0.16742,-0.898959543891534,0.441869174658169,0.00454,-0.0126929413962595,0.0337141250388691
"mesa","cvd_10y_HF","nPhysFac","FamIncome",0.25615,0.00362,-0.171764285390214,0.599248115985309,0.09621,0,0.0209747179349916,0.13963500478629,0.25597,0.00359,-0.16138177979373,0.599746693092925,0.05888,0.47233,-0.114802524296299,0.309094337192144,0.00566,-0.0141743322979502,0.03178349621691
"mesa","cvd_10y_HF","nPhysFac","nutrition",0.24584,0.00488,-0.167611784697317,0.585543659650051,0.07129,0,0.0426616621346221,0.0991013330976224,0.25597,0.00359,-0.161381779793729,0.599746693092927,-0.14163,0.27271,-0.527874308240643,0.164293012688816,-0.0101,-0.043614689272256,0.0109271416294585
