"boot","b1","b21","b22","b3","b41","b42"
1,0.0223206004812835,-0.142320449002249,0.0082070372175754,-0.013522013990181,-0.22692654337148,0.730513134985887
2,0.0663867781008751,-0.151031643312289,0.0215650901808482,0.0375852360482916,-0.229606376815027,0.569515908338042
3,0.0881189706544598,-0.137323477729872,0.0143881549722723,0.0629428188147385,-0.217597136600435,0.56758800826458
4,0.0668418427489419,-0.151780346853313,0.00777308040938744,0.0511401202590577,-0.114452466134739,0.739295964302982
5,0.0128092334074069,-0.0960258628147156,0.0256538192439799,-0.0075727933055384,-0.159521155026438,0.559322086898121
6,0.0209268767435574,-0.133257706135259,0.0102124588857934,0.0174978615702167,-0.0219607222306524,0.599007691363284
7,0.0752320895153315,-0.13792617291403,0.0222060085233998,0.0456389978815565,-0.13388022951052,0.93007705176957
8,0.0374692660070055,-0.122266616140948,0.0172399140801126,0.0136706875539547,-0.215906469173455,0.391264102083909
9,0.0644755372611376,-0.114536365601171,0.0186171606513363,0.045710176760609,-0.111191015558816,0.828522359800615
10,-0.00908986911162463,-0.124348808553597,0.0179185559812832,-0.0306616804773428,-0.161540861901916,0.694876162095139
11,0.0785725014509875,-0.147304632287753,0.0170365600131003,0.0561038985993867,-0.0826367712559875,1.04632039770099
12,0.062632372300184,-0.126220819092679,0.0196379778077994,0.0419091981493215,-0.154891497500906,0.67929735982518
13,0.0780672212864125,-0.115677245611326,0.0102487038338291,0.067471338070111,-0.115552987046975,0.537144774962878
14,0.122660364745705,-0.130568035376615,0.0229383554246091,0.0967681526472158,-0.174989569682212,0.691307815198557
15,-0.0175409741982153,-0.155746807369629,0.022164909048945,-0.0532881994637888,-0.180799060588176,0.735243482291294
16,-0.000513282234464466,-0.109701047357566,0.0171941046108889,-0.0339334828619663,-0.368360102873898,0.495696542187226
17,0.146263745206672,-0.127349794562534,0.00745147572987958,0.123536720892097,-0.195734741070313,0.748736501223076
18,0.0745127004273796,-0.143155090527847,0.00795009983663987,0.0576357377819535,-0.148952316029083,0.508880517041889
19,-0.0816753410957187,-0.11552667198009,0.0110417893300092,-0.0885965963388614,-0.0630029458769544,0.944464345007849
20,-0.0230471781591748,-0.136072492151745,0.0167018929523722,-0.0413625237826324,-0.0913552533812429,0.630100871949724
21,-0.0528931590699899,-0.116326602930783,0.0308821294376481,-0.0802797065407046,-0.0875723331105519,0.686883285272893
22,0.103640904912672,-0.122725259047931,0.0138323403243404,0.0878975687988745,-0.186962408968621,0.450168837738241
23,0.0886424188928008,-0.110533788494035,0.0101209896274973,0.0744140244320162,-0.173036124859173,0.850944726960175
24,0.0569036224596464,-0.13599851006714,0.0153044114904161,0.0265115549210241,-0.25112645199095,0.723612666990542
25,0.0919199709993515,-0.148905927286575,0.0186199228897141,0.0620526070411708,-0.143638644184969,0.96248373771341
26,0.136307083901972,-0.133656338377259,0.0189201387996087,0.105698216096295,-0.222485542417559,0.689456952462078
27,0.093794019116272,-0.117050215036612,0.00587175843476652,0.0822943835220455,-0.149218096335443,0.557923091257285
28,0.0509059412863093,-0.139651450278653,0.0121237977724831,0.0163667355484191,-0.282366899039581,0.913450915279667
29,-0.0296859640184738,-0.12554216541424,0.0251448659944445,-0.0666994304028492,-0.0930592518020013,1.07273760098071
30,0.0399849225053394,-0.123417014301449,0.0187088154172176,0.011172484392097,-0.17824415760951,0.712503080569762
31,-0.0847548404917746,-0.131875046288411,0.00908404229495879,-0.108192103415661,-0.165947581814438,0.713956221744302
32,0.0666124390101426,-0.105081137732446,0.010203620854933,0.0451543209258326,-0.160149685003876,0.688684866306729
33,0.122955849263531,-0.126314042186897,0.0210899232171052,0.107757314457041,-0.0286896283914313,0.89791356421992
34,0.054357215869339,-0.154207367439037,0.0264670840273208,0.0136905001926331,-0.205410288681649,0.602253822110787
35,-0.0211650501563698,-0.141116601391069,0.0161627749623272,-0.0408658500135006,-0.149373700769519,0.427085530817249
36,0.0475647732837264,-0.15577008736614,0.0145489861488837,-0.00192542421100185,-0.265382580268737,0.891042702345856
37,-0.0147917289834187,-0.143171875186822,0.0179351495077355,-0.0443686088925722,-0.182962199584901,0.668563890019651
38,0.0217314586029524,-0.139145083238966,0.019675355984712,-0.00100397538504392,-0.123280244316383,0.866197398023445
39,-0.00642556042601797,-0.118624580378757,0.00764023833184084,-0.0165279203492134,-0.108241128894631,0.762677210935674
40,0.0324083556448471,-0.130423790453527,0.0128034301840884,0.00313455342609845,-0.209784614667992,0.500623224081762
41,0.0820843160684697,-0.123208648810915,0.0226207287743981,0.0393977220797605,-0.294403832065332,0.766631869734058
42,-0.00596964137663987,-0.130238732370906,0.0164423448826728,-0.0256391845606306,-0.109860922354809,0.763130189197193
43,-0.0197942371160912,-0.145802400296292,0.0165032692285393,-0.0438456845979127,-0.169861095102628,0.685031682610781
44,0.0980193136496581,-0.138693325760029,0.0184791346136819,0.0557599134198794,-0.281020519592034,0.833389698092327
45,-0.00802841794980956,-0.126316787989131,0.00968965210582883,-0.0183361288702133,-0.0806955001010015,0.683602156604085
46,-0.0417045056140345,-0.125712458468362,0.017592840681372,-0.0619083852232316,-0.135259043756685,0.550843400472377
47,0.0753333250493451,-0.16855268997936,0.0162838048982288,0.0367667266283211,-0.174211003408824,0.875764834341809
48,0.0174998337045344,-0.121364837705743,0.00743736243922712,9.84572962628498e-05,-0.130987938302677,0.875419587919773
49,0.0262524459705462,-0.154097534868387,0.0130592230591463,0.00442520716603579,-0.136444989759741,0.54304335847396
50,-0.0262201332856171,-0.136740162620782,0.014477731097013,-0.0484402808862731,-0.113079751636712,0.715808421703296
51,-0.0134300162140325,-0.158646450956806,0.0149418914917348,-0.0426723858617233,-0.167451059010266,0.722745781600316
52,0.0628022187657078,-0.129918827838299,0.00312554249570392,0.0619598635291635,-0.109296891533039,0.737099088601876
53,0.0642527323445587,-0.134926756186639,0.0116955212408793,0.0493122807108907,-0.0999052086728397,0.853383950517805
54,0.0536614041214884,-0.119239570398188,0.0212715844971251,0.0240121776002951,-0.201454429635135,0.839217748796434
55,0.0401972376309568,-0.142116013752262,0.0117364571406789,0.0132853619182695,-0.210242771408347,0.737479140239622
56,0.0613404149567962,-0.150144816726188,0.0185482542843933,0.0385745254325322,-0.199345893289838,0.547269049244358
57,0.0177530980166744,-0.139277679275425,0.0142733524811174,-0.0127739918837341,-0.233407238478169,0.64343537132468
58,-0.027063161182419,-0.153137739338781,0.0142226111153917,-0.0519915388164119,-0.127655971275867,0.932957543189491
59,-0.0297808480662579,-0.144766453227027,0.0157032729412758,-0.0675762173985789,-0.247580648271748,0.882134119075279
60,0.0227850099231849,-0.101091335201946,0.000578228907789894,0.0102506908796654,-0.200662890353158,0.809309665971053
61,0.0795661122561754,-0.117937982062011,0.00998243010621249,0.0671920271343453,-0.174138213808231,0.632983297828301
62,0.00742235495809446,-0.115605954461489,0.0117603861270292,-0.0120393901846768,-0.159898150246382,0.774668787341589
63,-0.016961091596483,-0.144849360376128,0.0140897667427285,-0.0319270840045866,-0.10735326401464,0.838430973805246
64,-0.0576709935009411,-0.128886705414892,0.00716131241510746,-0.0746608379295539,-0.141855364709481,0.949958937523949
65,0.130679204426693,-0.163730423248883,0.0112525511296632,0.100278466441669,-0.200295781718548,0.442577116595501
66,0.0258914076179661,-0.130160126847374,0.0166719882525652,-0.00538687838367025,-0.256731216501015,0.571396860502238
67,0.0592818821338797,-0.136703670945987,0.0167126310270666,0.0251422163140354,-0.14520076478764,0.9457071089706
68,0.0122893966896946,-0.137667153960756,0.0142075902073822,-0.00730678517807393,-0.120744878536251,0.764814003844123
69,-0.00239602119404729,-0.123093573960024,0.0179149639171613,-0.0310916245634547,-0.221245900990303,0.835006850297347
70,0.100104956139637,-0.121634768222903,0.00462707569742539,0.0876191184312465,-0.14008187548647,0.798527212128703
71,0.133426500870947,-0.145920848374202,0.0099211785816566,0.0994827948942773,-0.261057153720943,0.766540604644081
72,0.0425777475611648,-0.128330547901864,0.0121777028438116,0.0200786581326228,-0.167377084739823,0.851049344569655
73,-0.0431200351996104,-0.121171010888336,0.0149991542184686,-0.0622522661653706,-0.146670832454546,0.75845956554161
74,0.016449013198009,-0.142110816259474,0.0140682009564191,1.52928667922924e-05,-0.102679257003541,0.633447428895056
75,0.100714149581709,-0.132202195478512,0.0203334024990741,0.0624901882204714,-0.322382062521035,0.621018122279498
76,0.024376637869714,-0.149739089395506,0.0306800908772852,-0.0203827165874604,-0.195154349891214,0.836245959079829
77,0.036115069532116,-0.156382910021869,0.00133036952774312,0.0203401530748638,-0.146141873554194,0.734864951390262
78,-0.00385764697429211,-0.140156553328198,0.00998736787570022,-0.0405077000267379,-0.248580440053382,0.858093678667833
79,-0.0456572096450408,-0.113115050077285,0.0146902967819383,-0.0719855878180667,-0.127645763615594,0.858576284599044
80,-0.0299469044017808,-0.141297959034531,0.0225102215856457,-0.0433901506099471,0.0133034141411397,0.849419362648028
81,0.167791781742555,-0.123140020846841,0.00933120138642628,0.158221930260909,-0.085905774392051,0.695547242363245
82,0.134406505551252,-0.139737104238573,0.0208825787097662,0.112163803066717,-0.146128513647292,0.349200279056648
83,-0.0527935092175634,-0.11725589344752,0.0109126839781069,-0.0673615450526978,-0.116986128832587,0.397129351417873
84,0.031316192543093,-0.158951160065341,0.0142909812103519,0.0175841592137037,-0.0391757851417675,0.876688589004095
85,0.0346950115052885,-0.155936554020595,0.0214507341560099,-0.0133490274718635,-0.235132891828838,0.846430909297729
86,0.0366344958116615,-0.131541709933195,0.00665633065688205,0.0234901327403593,-0.15443996255439,0.518765404537551
87,0.00698862094554095,-0.103522641613732,0.0225395986875113,-0.0206985172560878,-0.209375215038946,0.793005290195781
88,0.0893993380571116,-0.146757237257555,0.019362767858334,0.0658755047110695,-0.120133136919245,0.702453274128097
89,-0.00696684948102593,-0.136000882461582,0.0085085925807822,-0.0158824854890207,-0.0396645245971972,0.536946168692583
90,0.00409346909348264,-0.12638658919655,0.0100329777563736,-0.00748210141313706,-0.0523315299165375,0.701624530461783
91,0.0315390319129293,-0.15473135413872,0.014561474389388,-0.00163972567765665,-0.251594020705965,0.717654557847404
92,0.0366958038780887,-0.129993316491279,0.0127763578521957,0.0144979030049364,-0.223408673366417,0.497227201522904
93,0.0801448645065615,-0.138664827391144,0.0197716011865381,0.0561286346806328,-0.173097074423709,0.374181755131886
94,0.0214133255490191,-0.11030939685198,0.0150315158642139,0.0124285399801668,-0.075847493342973,0.700580206020104
95,0.100836370091061,-0.132130011653124,0.0151270173408047,0.0753595627626158,-0.171912354100183,0.777509351496802
96,0.169548280928538,-0.137718538402002,0.0242914338399066,0.144928514027265,-0.0659926637407824,0.95380815818963
97,0.0967490235589622,-0.13743556579719,0.0139272480473369,0.0810656051371596,-0.0802483509346105,0.755508281927659
98,-0.000593939297903798,-0.124875840590736,0.0123590556094019,-0.013500666748732,-0.114404072629437,0.604991879333981
99,-0.0657750314740928,-0.11095681773704,0.00949884831253937,-0.0769994068331369,-0.0954266949924072,0.721295111023438
100,0.00247131418750893,-0.132377236638964,0.00974479944720847,-0.0194762844958069,-0.173049853523135,0.390683260214856
101,0.0176006732986157,-0.107242311223324,0.00988814832613649,-0.00242138310770491,-0.205071777846095,0.598598304779077
102,0.0239150665005411,-0.123498507174248,0.0181362572470795,0.00250286678043086,-0.120031639458821,0.721260183450651
103,-0.0183071948253429,-0.158280598680673,0.00882799454826422,-0.0406486153526132,-0.160273304449854,0.468896779919852
104,0.0474553657277123,-0.125936329388789,0.0105900864531658,0.0268961569276244,-0.198853539826204,0.898274468022966
105,-0.0262187568458062,-0.112981857093821,0.0134718593232286,-0.0447781816936149,-0.218088452859811,0.695729178470496
106,-0.0278759349763179,-0.138908947823222,0.0181919839412356,-0.0572865709013583,-0.167551143547812,0.719980603299984
107,0.0195604099098147,-0.13186148715154,0.0122115976049565,0.00817617964528686,-0.0121115553735837,0.902696446482729
108,0.114729085861654,-0.154339773813536,0.0177974354696237,0.0758082449274738,-0.239415068516492,0.715485049424051
109,0.0855643113252438,-0.119989300577369,0.00836665403066555,0.0709445585874921,-0.148969467615947,0.572245558742064
110,0.0503324597398938,-0.139182977417674,0.0190126711359744,0.0280208650240376,-0.180933383712628,0.35297528190779
111,0.00160678836982244,-0.137312356004283,0.0145821461464111,-0.0112654086564914,-0.0696432575351076,0.65864012974205
112,0.0491408551403611,-0.111820712360776,0.0241766224045974,0.0134120775195518,-0.247087908206073,0.776018092931022
113,0.00489960450828096,-0.126411521653936,0.024151001827472,-0.0103412795168782,-0.0136509325956694,0.695415448268806
114,0.144644967246998,-0.140769997445112,0.0135800638965943,0.120392466753188,-0.188120798036718,0.946447155288752
115,0.00154989357400435,-0.133249165668826,0.0128191705754191,-0.0286040491548931,-0.233237331118682,0.667253505710891
116,0.0302139789112093,-0.124453312410481,0.0216370495763601,0.00946801137478132,-0.110153813724511,0.905176148201047
117,0.0340222999302963,-0.126530666582161,0.00595559979784156,0.0124557880283084,-0.223129114182077,0.465785121561083
118,-0.0063858899307284,-0.136091099089431,0.0137893545363197,-0.0358105262773877,-0.177401065315269,0.659548481128895
119,0.0142586986598493,-0.114276400156004,0.0101418326457262,-0.0090597260617635,-0.19587430485447,1.06408708706228
120,0.0776645389270938,-0.121562768613438,0.00909873648246421,0.051876665701929,-0.271584830281273,0.633496866995933
