"boot","b1","b21","b22","b23","b3","b41","b42","b43"
1,0.0794256217731204,-0.132280133125109,-0.0408327558740832,0.0199884736029527,0.0398075079572071,-0.203338080859813,-0.153715693062676,0.681448511438605
2,-0.0836978851749994,-0.12019934556801,-0.0603367840238148,0.0279898967373477,-0.1176391654093,-0.225170799526394,-0.144832067184887,0.553824249480638
3,0.00287667912692386,-0.148044086273968,-0.0657713228418879,0.0260648500974018,-0.0319114780031877,-0.216868769016369,-0.101962907557835,0.556566415537784
4,0.0869682613906951,-0.150589245029793,-0.0528097949303,0.0111518505708859,0.0673363954007953,-0.106989717357165,-0.0639757067652176,0.722334706206579
5,0.0702524555092496,-0.111338328343697,-0.0430047054453217,0.0199774250841462,0.045478673827816,-0.13944261762876,-0.118675505036482,0.521431655340339
6,-0.0440167860944427,-0.148793938167583,-0.0582438423520258,0.026303723846002,-0.0649779503888488,-0.0223048104622031,-0.0623571354448298,0.595197118061443
7,0.0885398803091342,-0.147795164003127,-0.039565645374968,0.0341602573419732,0.0332230940403845,-0.118177665619105,-0.15690423551965,0.891100394731265
8,0.11537729396956,-0.116178828856793,-0.0401028105938145,0.035879789607548,0.0809655830893103,-0.210779367234027,-0.00500651318532073,0.37052383960679
9,0.106045819105304,-0.110566802236472,-0.0325056021173111,0.022932367376128,0.0743252498084749,-0.087703542370312,-0.206707922864841,0.781143410761026
10,0.109443902160691,-0.128531954511101,-0.0717948464143867,0.0291561158490698,0.0685283629919012,-0.127158495701507,-0.203403933489323,0.658980411951219
11,0.0181683223411266,-0.14078066777662,-0.034189608643167,0.0199962484164421,-0.0121164294985387,-0.087402127164493,-0.0424764874528173,1.0430393124172
12,0.0687980507945414,-0.139673935439856,-0.0562729854411174,0.0301107235999164,0.0286328426680479,-0.130312842575441,-0.214642650251793,0.629777999940021
13,0.145708486555166,-0.145351369129532,-0.056851659386249,0.026886948445806,0.115648565212255,-0.0953920755190213,-0.135829190453376,0.504565510597199
14,0.0748247338400998,-0.110192865780656,-0.0596746476999943,0.0266877597555024,0.0399235410655861,-0.16724224727425,-0.165969591981465,0.659389222309688
15,0.0690479072994419,-0.140466179797919,-0.0392566315441523,0.0315475626782539,0.0272471537678234,-0.161961035094965,-0.0701417647557691,0.70925053391985
16,0.117398861219601,-0.127689713795901,-0.064163051999359,0.0309576803428222,0.0610681318904431,-0.34912757592392,-0.119067527287392,0.456729765682638
17,0.124565588695866,-0.115614285458081,-0.0600434550111685,0.0125582845522474,0.0937314322768212,-0.190912858510787,-0.0955497920377887,0.721808211938023
18,0.0819596008027935,-0.121670803295768,-0.0707031652581366,0.0218810167468563,0.0549708705693312,-0.151455967052353,-0.0231470070317284,0.492791358213205
19,-0.0316441508689249,-0.126094142911192,-0.065615604567456,0.0284692398842448,-0.0657236354845529,-0.0526231285021001,-0.0490418638895067,0.945851349970796
20,0.0837229835386823,-0.128897513502018,-0.0667597765864112,0.0275581706867112,0.03750176898583,-0.0423477332904974,-0.290584982079512,0.554757700461259
