,Data,X,M,other,Effect,Estimate,95_CI_Lower,95_CI_Upper
60,mesa_std,nRS,FamIncome,race_site,ACME,-0.01372,-0.02559,-0.00225
61,mesa_std,nRS,FamIncome,race_site,ADE,0.13748,0.02502,0.23757
62,mesa_std,nRS,FamIncome,race_site,Total Effect,0.14288,0.03089,0.24499
63,mesa_std,nRS,FamIncome,race_site,Prop. Mediated,-0.09603,-0.12202,-0.0672
64,mesa_std,nRS,nutrition,race_site,ACME,-0.00145,-0.00453,0.00047
65,mesa_std,nRS,nutrition,race_site,ADE,0.14257,0.0278,0.2507
66,mesa_std,nRS,nutrition,race_site,Total Effect,0.1474,0.0318,0.25459
67,mesa_std,nRS,nutrition,race_site,Prop. Mediated,-0.00983,-0.02379,0.00399
68,mesa_std,nRS,PhysAct,race_site,ACME,-0.00241,-0.00741,0.00087
69,mesa_std,nRS,PhysAct,race_site,ADE,0.14303,0.03057,0.2474
70,mesa_std,nRS,PhysAct,race_site,Total Effect,0.1436,0.03178,0.24964
71,mesa_std,nRS,PhysAct,race_site,Prop. Mediated,-0.01681,-0.03902,0.00636
72,mesa_std,nRS,currentSmoker,race_site,ACME,0.00827,0.00185,0.01623
73,mesa_std,nRS,currentSmoker,race_site,ADE,0.14132,0.03456,0.25333
74,mesa_std,nRS,currentSmoker,race_site,Total Effect,0.14472,0.03626,0.25397
75,mesa_std,nRS,currentSmoker,race_site,Prop. Mediated,0.05712,0.03701,0.07714
76,mesa_std,nRS,alc,race_site,ACME,-0.00475,-0.0094,-0.00119
77,mesa_std,nRS,alc,race_site,ADE,0.14776,0.04123,0.26074
78,mesa_std,nRS,alc,race_site,Total Effect,0.14777,0.04136,0.26098
79,mesa_std,nRS,alc,race_site,Prop. Mediated,-0.03212,-0.04626,-0.01953
80,mesa_std,nSES,FamIncome,race,ACME,-0.02383,-0.05965,0.01122
81,mesa_std,nSES,FamIncome,race,ADE,0.07493,-0.0352,0.18427
82,mesa_std,nSES,FamIncome,race,Total Effect,0.08294,-0.01696,0.18737
83,mesa_std,nSES,FamIncome,race,Prop. Mediated,-0.28727,-0.54915,0.2187
84,mesa_std,nSES,nutrition,race,ACME,-0.00332,-0.00842,0.00119
85,mesa_std,nSES,nutrition,race,ADE,0.07165,-0.0263,0.17376
86,mesa_std,nSES,nutrition,race,Total Effect,0.07994,-0.0195,0.18447
87,mesa_std,nSES,nutrition,race,Prop. Mediated,-0.04153,-0.06525,-0.00402
88,mesa_std,nSES,PhysAct,race,ACME,-0.00895,-0.0223,0.00384
89,mesa_std,nSES,PhysAct,race,ADE,0.06886,-0.02936,0.17072
90,mesa_std,nSES,PhysAct,race,Total Effect,0.08051,-0.01423,0.17757
91,mesa_std,nSES,PhysAct,race,Prop. Mediated,-0.1112,-0.21705,0.0511
92,mesa_std,nSES,currentSmoker,race,ACME,0.00329,-0.0008,0.00827
93,mesa_std,nSES,currentSmoker,race,ADE,0.08097,-0.0172,0.18226
94,mesa_std,nSES,currentSmoker,race,Total Effect,0.08317,-0.01426,0.18488
95,mesa_std,nSES,currentSmoker,race,Prop. Mediated,0.0396,0.02215,0.05667
96,mesa_std,nSES,alc,race,ACME,-0.00616,-0.01368,0.00149
97,mesa_std,nSES,alc,race,ADE,0.08017,-0.02098,0.17458
98,mesa_std,nSES,alc,race,Total Effect,0.08132,-0.01658,0.17285
99,mesa_std,nSES,alc,race,Prop. Mediated,-0.0758,-0.11454,-0.02397
100,mesa_std,nFavFood,FamIncome,race,ACME,0.00198,-0.00473,0.00991
101,mesa_std,nFavFood,FamIncome,race,ADE,-0.03098,-0.14424,0.06639
102,mesa_std,nFavFood,FamIncome,race,Total Effect,-0.02447,-0.13558,0.07288
103,mesa_std,nFavFood,FamIncome,race,Prop. Mediated,-0.08081,-0.22676,0.11088
104,mesa_std,nFavFood,nutrition,race,ACME,-0.00038,-0.00437,0.00358
105,mesa_std,nFavFood,nutrition,race,ADE,-0.0104,-0.11812,0.09529
106,mesa_std,nFavFood,nutrition,race,Total Effect,-0.01974,-0.13117,0.08604
107,mesa_std,nFavFood,nutrition,race,Prop. Mediated,0.01923,-0.06855,0.13149
108,mesa_std,nFavFood,PhysAct,race,ACME,-0.00065,-0.00472,0.00283
109,mesa_std,nFavFood,PhysAct,race,ADE,-0.02091,-0.13115,0.07776
110,mesa_std,nFavFood,PhysAct,race,Total Effect,-0.02288,-0.13168,0.07484
111,mesa_std,nFavFood,PhysAct,race,Prop. Mediated,0.02831,0.0056,0.06217
112,mesa_std,nFavFood,currentSmoker,race,ACME,0.00012,-0.00145,0.00179
113,mesa_std,nFavFood,currentSmoker,race,ADE,-0.02619,-0.14284,0.07859
114,mesa_std,nFavFood,currentSmoker,race,Total Effect,-0.02466,-0.14149,0.07839
115,mesa_std,nFavFood,currentSmoker,race,Prop. Mediated,-0.00487,-0.02661,0.01786
116,mesa_std,nFavFood,alc,race,ACME,0.00021,-0.00097,0.00165
117,mesa_std,nFavFood,alc,race,ADE,-0.02271,-0.13952,0.084
118,mesa_std,nFavFood,alc,race,Total Effect,-0.02239,-0.13911,0.0839
119,mesa_std,nFavFood,alc,race,Prop. Mediated,-0.00927,-0.02212,0.00281
120,mesa_std,nPhysFac,FamIncome,race,ACME,0.00028,-0.01035,0.00998
121,mesa_std,nPhysFac,FamIncome,race,ADE,0.00278,-0.10642,0.09999
122,mesa_std,nPhysFac,FamIncome,race,Total Effect,-0.00145,-0.1103,0.09367
