"Data","Y","X","Me","b1_mean","b1_ci_lwr","b1_ci_upr","b2_mean","b2_ci_lwr","b2_ci_upr","b3_mean","b3_ci_lwr","b3_ci_upr","b4_mean","b4_ci_lwr","b4_ci_upr","b2_b4_mean","b2_b4_ci_lwr","b2_b4_ci_upr","TotalEffect_b1","b2","DirectEffect_b3","b4","IndirectEffect_b2_b4"
"jhs","cvd_10y_HF","nFavFood","FamIncome",0.0275365019861005,-0.0814862310526498,0.129167376941724,-0.133878701382761,-0.162897818750888,-0.105202784818033,0.00818863921918869,-0.103804592577302,0.109824953134982,-0.179572505515676,-0.310915130264814,-0.0592404874173115,0.0240420932522571,0.00757910764208589,0.042702121837123,"0.028 [-0.081, 0.129]","-0.134 [-0.163, -0.105]","0.008 [-0.104, 0.110]","-0.180 [-0.311, -0.059]","0.024 [0.008, 0.043]"
"jhs","cvd_10y_HF","nFavFood","PhysAct",0.029247446856035,-0.0821799302059132,0.13447480844607,-0.0327099300621719,-0.0549806545918444,-0.00756880834520452,0.0236072659961956,-0.0887316294804097,0.129590718448372,-0.163189666934893,-0.326191261338904,0.00271556785155638,0.00539206346156198,-0.000105093757204091,0.0138872802990813,"0.029 [-0.082, 0.134]","-0.033 [-0.055, -0.008]","0.024 [-0.089, 0.130]","-0.163 [-0.326, 0.003]","0.005 [-0.000, 0.014]"
"jhs","cvd_10y_HF","nFavFood","alc",0.0289121841373267,-0.0802543228498929,0.135826132412039,0.0107166550071151,-0.0048603000622687,0.0259732884829989,0.0290338256052942,-0.0802390681741969,0.135495619008212,-0.0104111799169636,-0.253191034919105,0.239037797347772,-0.000121378456154922,-0.00386836954325476,0.00341595066132156,"0.029 [-0.080, 0.136]","0.011 [-0.005, 0.026]","0.029 [-0.080, 0.135]","-0.010 [-0.253, 0.239]","-0.000 [-0.004, 0.003]"
"jhs","cvd_10y_HF","nFavFood","currentSmoker",0.0298219904374829,-0.0721057479284196,0.128031175289257,0.0138405398369108,0.00409773696902052,0.0238525495961371,0.0240471821471419,-0.0767175246508095,0.125020655841447,0.744862309436747,0.410539818224201,1.0671288683422,0.0102951025698123,0.00267388659962696,0.0202009564940027,"0.030 [-0.072, 0.128]","0.014 [0.004, 0.024]","0.024 [-0.077, 0.125]","0.745 [0.411, 1.067]","0.010 [0.003, 0.020]"
"jhs","cvd_10y_HF","nFavFood","nutrition",0.0318397520521475,-0.077560405774125,0.138868730765926,-0.00364732145621874,-0.0190502148434448,0.0124909218514629,0.0314703036357545,-0.0781024531256253,0.138902255188139,-0.0828775998083331,-0.302521420029093,0.128958501622971,0.000271325004961374,-0.00192404519307305,0.00334477601029431,"0.032 [-0.078, 0.139]","-0.004 [-0.019, 0.012]","0.031 [-0.078, 0.139]","-0.083 [-0.303, 0.129]","0.000 [-0.002, 0.003]"
"jhs","cvd_10y_HF","nPhysFac","FamIncome",0.053312942992223,-0.0561523558399269,0.157044374296333,-0.0740913635068273,-0.104115833483289,-0.0449364260896588,0.0343773679180804,-0.0776648242377809,0.138011822893898,-0.176920632647389,-0.308185532416424,-0.0448462475663491,0.0131479684463585,0.00301473391244229,0.0257512329506126,"0.053 [-0.056, 0.157]","-0.074 [-0.104, -0.045]","0.034 [-0.078, 0.138]","-0.177 [-0.308, -0.045]","0.013 [0.003, 0.026]"
"jhs","cvd_10y_HF","nPhysFac","PhysAct",0.0518078789140055,-0.06068187206512,0.161211694070706,-0.0110586220833102,-0.0366548697771464,0.0118029238094332,0.0476129801660695,-0.0639986409946238,0.15725354661895,-0.170669401474737,-0.335387528550741,-0.0130955329560742,0.00191251397735125,-0.00230484289602702,0.00826256290270514,"0.052 [-0.061, 0.161]","-0.011 [-0.037, 0.012]","0.048 [-0.064, 0.157]","-0.171 [-0.335, -0.013]","0.002 [-0.002, 0.008]"
"jhs","cvd_10y_HF","nPhysFac","alc",0.0544138889882791,-0.0582865491057591,0.161288631921698,0.00648439934566192,-0.0101495413260166,0.0230066878699192,0.0544861086904411,-0.0568962411404888,0.160358035793737,-0.0105284614990156,-0.250955664307957,0.228678772724422,-8.74681197566335e-05,-0.00270366403622344,0.00250094127216869,"0.054 [-0.058, 0.161]","0.006 [-0.010, 0.023]","0.054 [-0.057, 0.160]","-0.011 [-0.251, 0.229]","-0.000 [-0.003, 0.003]"
"jhs","cvd_10y_HF","nPhysFac","currentSmoker",0.0520448048236141,-0.0621463906659315,0.15855729967752,0.00810437706563086,-0.00300474258305459,0.0191266298351495,0.0475114649475225,-0.0642848473938346,0.155027878565046,0.745291807801282,0.40964184677985,1.06433354073369,0.00607600652010814,-0.00231035678391301,0.0163558574232731,"0.052 [-0.062, 0.159]","0.008 [-0.003, 0.019]","0.048 [-0.064, 0.155]","0.745 [0.410, 1.064]","0.006 [-0.002, 0.016]"
"jhs","cvd_10y_HF","nPhysFac","nutrition",0.0547070088943681,-0.0573708888806764,0.158110028688962,-0.00876746719916459,-0.023570551251887,0.00710875246666978,0.0534183510823162,-0.0587572160933131,0.15641612393929,-0.0865462963736971,-0.304367160055035,0.119745365106321,0.000752430529971691,-0.00188476241110101,0.00452659951611196,"0.055 [-0.057, 0.158]","-0.009 [-0.024, 0.007]","0.053 [-0.059, 0.156]","-0.087 [-0.304, 0.120]","0.001 [-0.002, 0.005]"
