"Data","Y","X","Me","b1_mean","b1_ci_lwr","b1_ci_upr","b2_mean","b2_ci_lwr","b2_ci_upr","b3_mean","b3_ci_lwr","b3_ci_upr","b4_mean","b4_ci_lwr","b4_ci_upr","b2_b4_mean","b2_b4_ci_lwr","b2_b4_ci_upr","TotalEffect_b1","b2","DirectEffect_b3","b4","IndirectEffect_b2_b4"
"jhs","cvd_10y_HF","nFavFood","FamIncome",0.0283468519742386,-0.08173291819911,0.135995986174072,-0.133212043819189,-0.162182084711917,-0.102001132587559,0.00936688186313779,-0.101464383109418,0.119740041966987,-0.17792559060568,-0.306213155725775,-0.0450647121315002,0.0237051362678447,0.00568203127226789,0.0433831322354247,"0.028 [-0.082, 0.136]","-0.133 [-0.162, -0.102]","0.009 [-0.101, 0.120]","-0.178 [-0.306, -0.045]","0.024 [0.006, 0.043]"
"jhs","cvd_10y_HF","nFavFood","currentSmoker",0.0313711962394324,-0.0704733264948695,0.130560689590782,0.0140706621458063,0.0038503251422685,0.0244195041452671,0.0255152599445323,-0.0776027968989566,0.128613305586428,0.740342829947617,0.402638595368764,1.0629938745385,0.0104090512879836,0.00260571844041395,0.0210025494761397,"0.031 [-0.070, 0.131]","0.014 [0.004, 0.024]","0.026 [-0.078, 0.129]","0.740 [0.403, 1.063]","0.010 [0.003, 0.021]"
"jhs","cvd_10y_HF","nPhysFac","FamIncome",0.0513335245247303,-0.0673982495936887,0.150955459311357,-0.0736382292182264,-0.103729096044033,-0.0440505443076069,0.0323088850824085,-0.0842015975771835,0.136864945149561,-0.177560956806917,-0.3004984020933,-0.0531327294434381,0.0131371112806412,0.00357247527077107,0.0262660203910006,"0.051 [-0.067, 0.151]","-0.074 [-0.104, -0.044]","0.032 [-0.084, 0.137]","-0.178 [-0.300, -0.053]","0.013 [0.004, 0.026]"
"jhs","cvd_10y_HF","nRS","FamIncome",0.0785833655354492,-0.0396487003762351,0.204638250061826,-0.13606913609969,-0.165333611971505,-0.105616441002334,0.0613901450557341,-0.0629831883196363,0.18540702319611,-0.173981430329394,-0.296149393269863,-0.0499239574690833,0.0236917462425555,0.00617816633042745,0.0424958213966854,"0.079 [-0.040, 0.205]","-0.136 [-0.165, -0.106]","0.061 [-0.063, 0.185]","-0.174 [-0.296, -0.050]","0.024 [0.006, 0.042]"
"jhs","cvd_10y_HF","nRS","PhysAct",0.073524200199346,-0.0557340140908381,0.194225584036277,-0.0529889865611669,-0.0782826107274854,-0.0265179148118508,0.0649457380519898,-0.0659429502336823,0.18553907716316,-0.166890991683128,-0.328185984885088,-0.0127425845489874,0.00885050103674594,0.000595744780067964,0.0193636068777574,"0.074 [-0.056, 0.194]","-0.053 [-0.078, -0.027]","0.065 [-0.066, 0.186]","-0.167 [-0.328, -0.013]","0.009 [0.001, 0.019]"
"jhs","cvd_10y_HF","nRS","currentSmoker",0.0760025494520753,-0.0424264866153805,0.204912850198688,0.0248414515876046,0.0139061200409229,0.0353631334405343,0.0598230468148008,-0.0572552137707584,0.190582228640684,0.729311310055965,0.393806830473535,1.03880366854236,0.018005889767881,0.00842614857712774,0.0289654393743949,"0.076 [-0.042, 0.205]","0.025 [0.014, 0.035]","0.060 [-0.057, 0.191]","0.729 [0.394, 1.039]","0.018 [0.008, 0.029]"
"jhs","cvd_10y_HF","nSES","FamIncome",0.0817043013790567,-0.0447334032293467,0.202499480176164,-0.244595873570855,-0.272457721962873,-0.216637741874232,0.037560763825856,-0.0885069564020605,0.157251645043268,-0.170828349391171,-0.306681195657637,-0.049214591769361,0.0417422149835008,0.012392813802127,0.0737916677884322,"0.082 [-0.045, 0.202]","-0.245 [-0.272, -0.217]","0.038 [-0.089, 0.157]","-0.171 [-0.307, -0.049]","0.042 [0.012, 0.074]"
"jhs","cvd_10y_HF","nSES","PhysAct",0.0813726743334727,-0.0332522443140591,0.195143379007037,-0.0898289713974399,-0.114439640097251,-0.0619392146219856,0.0645828156268085,-0.0484888461449857,0.180543492552137,-0.160229695413333,-0.321834775904578,-0.0138027576716031,0.01436154848655,0.00115868750665111,0.0301810362223329,"0.081 [-0.033, 0.195]","-0.090 [-0.114, -0.062]","0.065 [-0.048, 0.181]","-0.160 [-0.322, -0.014]","0.014 [0.001, 0.030]"
"jhs","cvd_10y_HF","nSES","currentSmoker",0.0794935051225125,-0.0340743446761296,0.202489874313086,0.0220358084504514,0.0114037148015361,0.0330403974380176,0.0595634740959053,-0.0572250246510613,0.183041643456388,0.735865688182556,0.392716981260934,1.05894615702569,0.0162305026145992,0.00628952951478985,0.0279401565767518,"0.079 [-0.034, 0.202]","0.022 [0.011, 0.033]","0.060 [-0.057, 0.183]","0.736 [0.393, 1.059]","0.016 [0.006, 0.028]"
"jhs","cvd_10y_noHF","nFavFood","currentSmoker",0.0454979876726815,-0.0817916510761775,0.180061451630961,0.0142356798553742,0.00313918816050263,0.0247554932914492,0.0404317975547653,-0.087976792300973,0.176212559535993,0.670488196653323,0.268342572262325,1.01881243739225,0.00957621425562587,0.00124147746285458,0.0201461137728107,"0.045 [-0.082, 0.180]","0.014 [0.003, 0.025]","0.040 [-0.088, 0.176]","0.670 [0.268, 1.019]","0.010 [0.001, 0.020]"
