"Data","Y","X","Me","b1_mean","b1_ci_lwr","b1_ci_upr","b2_mean","b2_ci_lwr","b2_ci_upr","b3_mean","b3_ci_lwr","b3_ci_upr","b4_mean","b4_ci_lwr","b4_ci_upr","b2_b4_mean","b2_b4_ci_lwr","b2_b4_ci_upr","TotalEffect_b1","b2","DirectEffect_b3","b4","IndirectEffect_b2_b4"
"jhs","cvd_10y_HF","nFavFood","FamIncome",0.0275365019861005,-0.0814862310526498,0.129167376941724,-0.133878701382761,-0.162897818750888,-0.105202784818033,0.00818863921918869,-0.103804592577302,0.109824953134982,-0.179572505515676,-0.310915130264814,-0.0592404874173115,0.0240420932522571,0.00757910764208589,0.042702121837123,"0.028 [-0.081, 0.129]","-0.134 [-0.163, -0.105]","0.008 [-0.104, 0.110]","-0.180 [-0.311, -0.059]","0.024 [0.008, 0.043]"
"jhs","cvd_10y_HF","nFavFood","currentSmoker",0.0298219904374829,-0.0721057479284196,0.128031175289257,0.0138405398369108,0.00409773696902052,0.0238525495961371,0.0240471821471419,-0.0767175246508095,0.125020655841447,0.744862309436747,0.410539818224201,1.0671288683422,0.0102951025698123,0.00267388659962696,0.0202009564940027,"0.030 [-0.072, 0.128]","0.014 [0.004, 0.024]","0.024 [-0.077, 0.125]","0.745 [0.411, 1.067]","0.010 [0.003, 0.020]"
"jhs","cvd_10y_HF","nPhysFac","FamIncome",0.053312942992223,-0.0561523558399269,0.157044374296333,-0.0740913635068273,-0.104115833483289,-0.0449364260896588,0.0343773679180804,-0.0776648242377809,0.138011822893898,-0.176920632647389,-0.308185532416424,-0.0448462475663491,0.0131479684463585,0.00301473391244229,0.0257512329506126,"0.053 [-0.056, 0.157]","-0.074 [-0.104, -0.045]","0.034 [-0.078, 0.138]","-0.177 [-0.308, -0.045]","0.013 [0.003, 0.026]"
"jhs","cvd_10y_HF","nRS","FamIncome",0.0750363456661023,-0.0453589318643541,0.202177151768998,-0.135994632355244,-0.165796071192049,-0.1083027789621,0.0574343179278945,-0.0626580162875882,0.18766370444338,-0.176612525195461,-0.300429109294317,-0.0448509810811125,0.0240460209379653,0.0055409357914136,0.0432479128616085,"0.075 [-0.045, 0.202]","-0.136 [-0.166, -0.108]","0.057 [-0.063, 0.188]","-0.177 [-0.300, -0.045]","0.024 [0.006, 0.043]"
"jhs","cvd_10y_HF","nRS","PhysAct",0.0760223009988147,-0.053468324393986,0.198548091366755,-0.053521344678522,-0.0800253069518247,-0.0284317878120539,0.0678141300974626,-0.0610749304533179,0.193044646286809,-0.160770102796021,-0.312647513747627,-0.0173694705568473,0.0085363603065094,0.000850567819127376,0.0195327792561488,"0.076 [-0.053, 0.199]","-0.054 [-0.080, -0.028]","0.068 [-0.061, 0.193]","-0.161 [-0.313, -0.017]","0.009 [0.001, 0.020]"
"jhs","cvd_10y_HF","nRS","currentSmoker",0.0739480231343845,-0.0445684449769466,0.208009964520113,0.0242004564728008,0.0131906333974501,0.034912368304863,0.0580410325912595,-0.0629059495691006,0.19282222491957,0.737311413810193,0.408722417434067,1.0471587728602,0.0178218094270701,0.00768158448809394,0.0305956454062077,"0.074 [-0.045, 0.208]","0.024 [0.013, 0.035]","0.058 [-0.063, 0.193]","0.737 [0.409, 1.047]","0.018 [0.008, 0.031]"
"jhs","cvd_10y_HF","nSES","FamIncome",0.0801342249909026,-0.039797373412223,0.211941052279008,-0.243728485278212,-0.269871921753289,-0.216870286219835,0.0367279021918489,-0.0851985229213006,0.167104904090976,-0.16844166804928,-0.300854474786306,-0.0309043004330406,0.04099304353657,0.00787349371916607,0.0729991963864316,"0.080 [-0.040, 0.212]","-0.244 [-0.270, -0.217]","0.037 [-0.085, 0.167]","-0.168 [-0.301, -0.031]","0.041 [0.008, 0.073]"
"jhs","cvd_10y_HF","nSES","PhysAct",0.0847782261546526,-0.0323609663761715,0.200563790697194,-0.0896766684577592,-0.114126700985956,-0.0657112146570443,0.068533977289341,-0.0500846569280484,0.182026374952867,-0.156121866003897,-0.311241050608085,-0.0175087532372867,0.0139742042294593,0.00147658051696604,0.0297725853561174,"0.085 [-0.032, 0.201]","-0.090 [-0.114, -0.066]","0.069 [-0.050, 0.182]","-0.156 [-0.311, -0.018]","0.014 [0.001, 0.030]"
"jhs","cvd_10y_HF","nSES","currentSmoker",0.0792201042725634,-0.0373750667500821,0.209955166467405,0.0221266672330415,0.0112500232661008,0.0321712468875861,0.059435636195182,-0.0559615429560863,0.186478735317457,0.725956657386017,0.414105066312102,1.06187571298713,0.0160929031110999,0.00674145125443894,0.0278784839854045,"0.079 [-0.037, 0.210]","0.022 [0.011, 0.032]","0.059 [-0.056, 0.186]","0.726 [0.414, 1.062]","0.016 [0.007, 0.028]"
"mesa","cvd_10y_HF","nPhysFac","nutrition",0.0149779844578465,-0.115096114995658,0.124994350894442,0.0232195622349275,0.00649604892329409,0.0400973164374981,0.0222542109349424,-0.107902247643857,0.136266707721123,-0.224161475635324,-0.450014629297051,-0.0126850212465816,-0.00519256844369832,-0.013019065175405,-5.31671264436119e-05,"0.015 [-0.115, 0.125]","0.023 [0.006, 0.040]","0.022 [-0.108, 0.136]","-0.224 [-0.450, -0.013]","-0.005 [-0.013, -0.000]"
